,date,from,to,condition
0,11-Jun-2022 (13:25:36),traffic light taman mini square jakarta timur , , ramai lancar
1,01-Jul-2022 (06:07:38),jl. d.i panjaitan jaktim , arah cipinang maupun arah kalimalang , ramai lancar.
2,10-Jun-2022 (21:43:20),traffic light garuda (tamini square) jaktim , , padat.
3,10-Jun-2022 (19:33:00),traffic light pgc cililitan jaktim , arah jl. raya bogor , ramai lancar.
4,10-Jun-2022 (17:05:21),traffic light pasar rebo jaktim yg akan dilaksanakan pada tanggal 13 s/d 26 juni 2022., , 
5,10-Jun-2022 (16:10:00),traffic light garuda taman mini jaktim., , 
6,10-Jun-2022 (10:12:00),traffic light rindam jl. tb simatupang jaktim , arah pasar rebo , ramai lancar.
7,10-Jun-2022 (10:01:00),traffic light arion jl. pemuda rawamangun jaktim , , ramai lancar.
8,10-Jun-2022 (09:44:41),jl. mt haryono cawang jaktim , arah pancoran , ramai lancar.
9,10-Jun-2022 (09:39:09),jl. parmuka raya dari tl utan kayu sd tl matraman matraman jakarta timur terkait penambahan titik ruas jalan penerapan kebijakan gage., , 
10,10-Jun-2022 (06:17:19),traffic light taman mini square jakarta timur , , lancar
11,09-Jun-2022 (08:57:12),traffic light caglak , arah pasar rebo jaktim , ramai lancar.
12,09-Jun-2022 (07:02:40),jl. pramuka raya jaktim., , 
13,09-Jun-2022 (06:49:03),jl. pramuka raya s/d jl. matraman jakarta timur., , 
14,09-Jun-2022 (06:26:22),traffic light taman mini square jakarta timur , , ramai lancar
15,09-Jun-2022 (06:00:00),jl. pramuka - matraman jaktim, , 
16,08-Jun-2022 (11:24:57),jl. pramuka raya jaktim, , 
17,08-Jun-2022 (09:35:34),traffic light raden inten kalimalang jaktim , , ramai lancar.
18,08-Jun-2022 (05:50:20),traffic light taman mini square jakarta timur , , ramai lancar
19,07-Jun-2022 (22:12:52),traffic light pupar jl.raya bekasi jakarta timur , , ramai lancar
20,07-Jun-2022 (17:22:00),jl. raya bekasi cakung jaktim , arah jakarta , padat.
21,07-Jun-2022 (16:39:00),traffic light utan kayu jaktim , arah matraman maupun arah rawamangun , ramai lancar.
22,07-Jun-2022 (10:02:37),jl. mt haryono cawang jaktim , arah pancoran , ramai lancar.
23,07-Jun-2022 (06:43:55),jl. cililitan besar jakarta timur., , 
24,06-Jun-2022 (15:24:25),traffic light taman mini square jakarta timur , , ramai lancar
25,06-Jun-2022 (13:35:45),"jl. raya bekasi (samping pos lantas cakung), bagi pengguna jalan diimbau agar berhati-hati.", , 
26,06-Jun-2022 (11:53:21),traffic light halim baru jaktim , arah pancoran , padat.
27,06-Jun-2022 (11:19:55),traffic light matraman jaktim , arah jatinegara , ramai lancar.
28,06-Jun-2022 (10:32:06),traffic light rindam jl. tb simatupang jaktim , arah pasar rebo , ramai lancar.
29,06-Jun-2022 (06:16:07),jl. mt haryono cawang jaktim (depan rs otak) ," arah pancoran, saat ini sedang dalam penanganan, situasi arus lalu lintas mengalami tersendat.", 
30,06-Jun-2022 (05:48:17),traffic light kolong cakung jaktim , , ramai lancar.
31,05-Jun-2022 (11:39:59),traffic light utan kayu jaktim , arah matraman , lancar.
32,05-Jun-2022 (06:19:40),traffic light taman mini square jakarta timur , , ramai lancar
